running_best_fitness,generation,seed,instance,best_fitness_at_generation,algorithm,instance_path
1212.0,59,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,60,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,61,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,62,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,63,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,64,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,65,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,66,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,67,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,68,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1212.0,69,1,A-n32-k5.vrp,1212.0,GA,data/vrp/A-n32-k5.vrp
1188.0,70,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,71,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,72,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,73,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,74,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,75,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,76,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,77,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,78,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,79,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,80,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,81,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,82,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,83,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,84,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,85,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,86,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1188.0,87,1,A-n32-k5.vrp,1188.0,GA,data/vrp/A-n32-k5.vrp
1184.0,88,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,89,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,90,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,91,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,92,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,93,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,94,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,95,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
1184.0,96,1,A-n32-k5.vrp,1184.0,GA,data/vrp/A-n32-k5.vrp
